,time,mem_transfer_included,gpu_or_naive,sub_function,num_rows,num_cols
96,4.6943999826908116e-05,False,gpu,calculate_score,8,10
97,0.0006392639875411987,True,gpu,choose_best_score,8,10
98,0.00010784000158309937,False,gpu,choose_best_score,8,10
99,0.0002832320034503937,True,gpu,split_data,8,10
100,4.300799965858459e-05,False,gpu,split_data,8,10
101,2.9802322387695312e-05,True,gpu,check_terminal_case,10,534
102,1.7404556274414062e-05,True,gpu,check_terminal_case,10,243
103,1.2159347534179688e-05,True,gpu,check_terminal_case,10,215
104,9.5367431640625e-06,True,gpu,check_terminal_case,10,1
105,9.298324584960938e-06,True,gpu,check_terminal_case,10,7
106,0.013810396194458008,True,gpu,top_level,1000,10
107,3.790855407714844e-05,True,naive,check_terminal_case,10,1000
108,0.6801974773406982,True,naive,calculate_score,10,1000
109,7.343292236328125e-05,True,naive,choose_best_score,10,1000
110,7.033348083496094e-05,True,naive,split_data,10,1000
111,1.8358230590820312e-05,True,naive,check_terminal_case,10,539
112,0.25063133239746094,True,naive,calculate_score,10,539
113,6.365776062011719e-05,True,naive,choose_best_score,10,539
114,4.0531158447265625e-05,True,naive,split_data,10,539
115,1.9311904907226562e-05,True,naive,check_terminal_case,10,461
116,0.20051097869873047,True,naive,calculate_score,10,461
117,5.984306335449219e-05,True,naive,choose_best_score,10,461
118,4.553794860839844e-05,True,naive,split_data,10,461
119,1.811981201171875e-05,True,naive,check_terminal_case,10,535
120,0.24820375442504883,True,naive,calculate_score,10,535
121,6.222724914550781e-05,True,naive,choose_best_score,10,535
122,4.029273986816406e-05,True,naive,split_data,10,535
123,1.0967254638671875e-05,True,naive,check_terminal_case,10,4
124,1.1205673217773438e-05,True,naive,check_terminal_case,10,244
125,0.09551739692687988,True,naive,calculate_score,10,244
126,5.459785461425781e-05,True,naive,choose_best_score,10,244
127,2.8371810913085938e-05,True,naive,split_data,10,244
128,1.239776611328125e-05,True,naive,check_terminal_case,10,217
129,1.4764404296875,True,naive,top_level,1000,10
130,0.012593984603881836,True,sklearn,top_level,10000,10
131,0.0002696514129638672,True,gpu,check_terminal_case,10,10000
